company,total_laid_off,funds_raised
Talkdesk,0,497
Tally,0,172
Teads,540,123
Tekion,900,435
"Tempo Automation",186,154
Tenable,0,565
Tenstorrent,240,1000
Tesla,43500,20200
Textio,87,42
"The Gist",0,7
"The Good Glamm Group",450,180
"The Trade Desk",0,257
theGist,0,7
Thepeer,0,2
Thinx,285,26
Thoughtworks,1737,748
Thursday,0,3
Tia,0,133
"Tier Mobility",0,646
Tilia,84,32
Tipalti,0,565
Toast,1650,962
Tome,72,75
"Tome Biosciences",393,213
TomTom,900,430
Tonik,0,175
"Top Hat",231,234
Toplyne,0,17
Totango,0,147
"Trade Republic",0,1300
"Treasure Financial",42,14
"Treasury Prime",120,71
Trellix,0,35
Trigo,90,199
TripAdvisor,600,3
TripleLift,0,16
Tropic,198,67
"Trove Recommerce",390,152
"True Anomaly",90,158
TrueLayer,213,321
"Tulip Retail",75,79
Turo,450,467
Turso,0,7
TuSimple,450,648
Twelve,0,844
Twig,0,41
Twiga,849,157
Twilio,0,614
Twitch,1500,35
TytoCare,165,206
"Uber Freight",240,2700
Udaan,300,1500
Udemy,840,311
UIPath,1260,2000
Unacademy,750,838
Unbabel,198,91
Unbounce,0,39
Unit,0,170
"Unite Us",0,196
Unity,6195,1300
"Upside Foods",78,598
Upwork,0,168
Vacasa,3360,834
Veeam,900,500
Veev,0,597
Veho,195,299
Velo3D,126,305
Velocity,0,30
Vendasta,0,178
Vendease,564,43
Vendr,0,216
Venminder,300,49
Verbit,246,569
Veriff,303,192
Verily,0,3500
Verse,0,38
"VerSe Innovation copy",1050,1700
Vesttoo,450,110
Viasat,2400,366
"Vice Media",0,1600
VideoAmp,120,456
Vimeo,0,450
"Vivian Health",39,60
VMware,8511,393
Voi,360,515
"Volta Trucks",0,391
"Vox Media",0,307
VRChat,0,95
Vroom,2400,1300
VSCO,72,90
Walnut,45,56
Wattpad,60,117
WayCool,1710,363
Wayfair,8160,1700
Waymo,0,5500
Webflow,0,335
Wefox,180,1300
WeTransfer,885,64
Wex,1125,400
Windsurf,90,243
"Wint Wealth",57,16
Wise,900,300
Wisense,0,37
WiseTech,0,3000
Wish,765,1600
Wondery,300,15
Workday,5250,230
Workfellow,0,3
xAI,1500,22700
Xendit,600,534
Xerox,9000,27200
Xolo,72,11
Yahoo,0,6
Yellow.ai,300,102
Yext,0,117
Yotpo,600,436
YouTube,300,11
"Yuga Labs",0,450
Yummly,0,24
"Zapata Computing",0,82
Zapp,0,300
"Zebra Technologies",2100,2000
Zeen,0,9
Zendesk,153,85
Zeplin,111,1
Zepto,900,2600
Zepz,690,700
ZestMoney,450,120
"Zeus Living",0,151
Zillow,69,97
Zip,900,896
ZipRecruiter,240,769
Zoe,0,89
Zomato,1800,914
"Zonar Systems",0,50
Zoom,450,276
ZoomInfo,450,7
Zopper,300,125
Zulily,2517,194
Zuora,0,647
Zupee,510,121
Zwift,0,619
Zylo,0,72
